id,region,land,group,vote_type,count_type,votes,land_str
1,Flensburg – Schleswig,1,wahlberechtigte,erststimmen,endgueltig,228471,Schleswig-Holstein
1,Flensburg – Schleswig,1,wahlberechtigte,erststimmen,vorperiode,226944,Schleswig-Holstein
1,Flensburg – Schleswig,1,wahlberechtigte,zweitstimmen,endgueltig,228471,Schleswig-Holstein
1,Flensburg – Schleswig,1,wahlberechtigte,zweitstimmen,vorperiode,226944,Schleswig-Holstein
1,Flensburg – Schleswig,1,waehler,erststimmen,endgueltig,171914,Schleswig-Holstein
1,Flensburg – Schleswig,1,waehler,erststimmen,vorperiode,162749,Schleswig-Holstein
1,Flensburg – Schleswig,1,waehler,zweitstimmen,endgueltig,171914,Schleswig-Holstein
1,Flensburg – Schleswig,1,waehler,zweitstimmen,vorperiode,162749,Schleswig-Holstein
1,Flensburg – Schleswig,1,ungueltige,erststimmen,endgueltig,1596,Schleswig-Holstein
1,Flensburg – Schleswig,1,ungueltige,erststimmen,vorperiode,2223,Schleswig-Holstein
1,Flensburg – Schleswig,1,ungueltige,zweitstimmen,endgueltig,1449,Schleswig-Holstein
1,Flensburg – Schleswig,1,ungueltige,zweitstimmen,vorperiode,2113,Schleswig-Holstein
1,Flensburg – Schleswig,1,gueltige,erststimmen,endgueltig,170318,Schleswig-Holstein
1,Flensburg – Schleswig,1,gueltige,erststimmen,vorperiode,160526,Schleswig-Holstein
1,Flensburg – Schleswig,1,gueltige,zweitstimmen,endgueltig,170465,Schleswig-Holstein
1,Flensburg – Schleswig,1,gueltige,zweitstimmen,vorperiode,160636,Schleswig-Holstein
1,Flensburg – Schleswig,1,christlichdemokratischeuniondeutschlands,erststimmen,endgueltig,68120,Schleswig-Holstein
1,Flensburg – Schleswig,1,christlichdemokratischeuniondeutschlands,erststimmen,vorperiode,68235,Schleswig-Holstein
1,Flensburg – Schleswig,1,christlichdemokratischeuniondeutschlands,zweitstimmen,endgueltig,58320,Schleswig-Holstein
1,Flensburg – Schleswig,1,christlichdemokratischeuniondeutschlands,zweitstimmen,vorperiode,61347,Schleswig-Holstein
1,Flensburg – Schleswig,1,sozialdemokratischeparteideutschlands,erststimmen,endgueltig,47711,Schleswig-Holstein
1,Flensburg – Schleswig,1,sozialdemokratischeparteideutschlands,erststimmen,vorperiode,59718,Schleswig-Holstein
1,Flensburg – Schleswig,1,sozialdemokratischeparteideutschlands,zweitstimmen,endgueltig,40388,Schleswig-Holstein
1,Flensburg – Schleswig,1,sozialdemokratischeparteideutschlands,zweitstimmen,vorperiode,52396,Schleswig-Holstein
1,Flensburg – Schleswig,1,dielinke,erststimmen,endgueltig,12144,Schleswig-Holstein
1,Flensburg – Schleswig,1,dielinke,erststimmen,vorperiode,7436,Schleswig-Holstein
1,Flensburg – Schleswig,1,dielinke,zweitstimmen,endgueltig,14002,Schleswig-Holstein
1,Flensburg – Schleswig,1,dielinke,zweitstimmen,vorperiode,9084,Schleswig-Holstein
